date,crime_count,day,month,year,day_of_week,is_weekend
2001-07-25,1465,25,7,2001,2,0
2001-07-26,1436,26,7,2001,3,0
2001-07-27,1465,27,7,2001,4,0
2001-07-28,1459,28,7,2001,5,1
2001-07-29,1423,29,7,2001,6,1
2001-07-30,1464,30,7,2001,0,0
2001-07-31,1417,31,7,2001,1,0
2001-08-01,1587,1,8,2001,2,0
2001-08-02,1310,2,8,2001,3,0
2001-08-03,1417,3,8,2001,4,0
2001-08-04,1516,4,8,2001,5,1
2001-08-05,1472,5,8,2001,6,1
2001-08-06,1503,6,8,2001,0,0
2001-08-07,1441,7,8,2001,1,0
2001-08-08,1433,8,8,2001,2,0
2001-08-09,1344,9,8,2001,3,0
2001-08-10,1563,10,8,2001,4,0
2001-08-11,1391,11,8,2001,5,1
2001-08-12,1406,12,8,2001,6,1
2001-08-13,1412,13,8,2001,0,0
2001-08-14,1410,14,8,2001,1,0
2001-08-15,1520,15,8,2001,2,0
2001-08-16,1434,16,8,2001,3,0
2001-08-17,1336,17,8,2001,4,0
2001-08-18,1324,18,8,2001,5,1
2001-08-19,1244,19,8,2001,6,1
2001-08-20,1468,20,8,2001,0,0
2001-08-21,1350,21,8,2001,1,0
2001-08-22,1382,22,8,2001,2,0
2001-08-23,1308,23,8,2001,3,0
2001-08-24,1419,24,8,2001,4,0
2001-08-25,1385,25,8,2001,5,1
2001-08-26,1423,26,8,2001,6,1
2001-08-27,1484,27,8,2001,0,0
2001-08-28,1410,28,8,2001,1,0
2001-08-29,1455,29,8,2001,2,0
2001-08-30,1428,30,8,2001,3,0
2001-08-31,1474,31,8,2001,4,0
2001-09-01,1582,1,9,2001,5,1
2001-09-02,1325,2,9,2001,6,1
2001-09-03,1369,3,9,2001,0,0
2001-09-04,1402,4,9,2001,1,0
2001-09-05,1308,5,9,2001,2,0
2001-09-06,1424,6,9,2001,3,0
2001-09-07,1570,7,9,2001,4,0
2001-09-08,1574,8,9,2001,5,1
2001-09-09,1322,9,9,2001,6,1
2001-09-10,1383,10,9,2001,0,0
2001-09-11,1374,11,9,2001,1,0
2001-09-12,1344,12,9,2001,2,0
2001-09-13,1274,13,9,2001,3,0
2001-09-14,1403,14,9,2001,4,0
2001-09-15,1501,15,9,2001,5,1
2001-09-16,1341,16,9,2001,6,1
2001-09-17,1247,17,9,2001,0,0
2001-09-18,1286,18,9,2001,1,0
2001-09-19,1289,19,9,2001,2,0
2001-09-20,1368,20,9,2001,3,0
2001-09-21,1500,21,9,2001,4,0
2001-09-22,1435,22,9,2001,5,1
2001-09-23,1268,23,9,2001,6,1
2001-09-24,1284,24,9,2001,0,0
2001-09-25,1312,25,9,2001,1,0
2001-09-26,1394,26,9,2001,2,0
2001-09-27,1450,27,9,2001,3,0
2001-09-28,1462,28,9,2001,4,0
2001-09-29,1384,29,9,2001,5,1
2001-09-30,1346,30,9,2001,6,1
2001-10-01,1709,1,10,2001,0,0
2001-10-02,1411,2,10,2001,1,0
2001-10-03,1495,3,10,2001,2,0
2001-10-04,1336,4,10,2001,3,0
2001-10-05,1424,5,10,2001,4,0
2001-10-06,1366,6,10,2001,5,1
2001-10-07,1243,7,10,2001,6,1
2001-10-08,1381,8,10,2001,0,0
2001-10-09,1462,9,10,2001,1,0
2001-10-10,1380,10,10,2001,2,0
2001-10-11,1397,11,10,2001,3,0
2001-10-12,1477,12,10,2001,4,0
2001-10-13,1257,13,10,2001,5,1
2001-10-14,1197,14,10,2001,6,1
2001-10-15,1366,15,10,2001,0,0
2001-10-16,1312,16,10,2001,1,0
2001-10-17,1376,17,10,2001,2,0
2001-10-18,1404,18,10,2001,3,0
2001-10-19,1492,19,10,2001,4,0
2001-10-20,1517,20,10,2001,5,1
2001-10-21,1364,21,10,2001,6,1
2001-10-22,1311,22,10,2001,0,0
2001-10-23,1395,23,10,2001,1,0
2001-10-24,1271,24,10,2001,2,0
2001-10-25,1280,25,10,2001,3,0
2001-10-26,1409,26,10,2001,4,0
2001-10-27,1372,27,10,2001,5,1
2001-10-28,1320,28,10,2001,6,1
2001-10-29,1343,29,10,2001,0,0
2001-10-30,1394,30,10,2001,1,0
2001-10-31,1578,31,10,2001,2,0
2001-11-01,1737,1,11,2001,3,0
2001-11-02,1461,2,11,2001,4,0
2001-11-03,1354,3,11,2001,5,1
2001-11-04,1260,4,11,2001,6,1
2001-11-05,1315,5,11,2001,0,0
2001-11-06,1338,6,11,2001,1,0
2001-11-07,1367,7,11,2001,2,0
2001-11-08,1305,8,11,2001,3,0
2001-11-09,1278,9,11,2001,4,0
2001-11-10,1348,10,11,2001,5,1
2001-11-11,1275,11,11,2001,6,1
2001-11-12,1247,12,11,2001,0,0
2001-11-13,1340,13,11,2001,1,0
2001-11-14,1311,14,11,2001,2,0
2001-11-15,1354,15,11,2001,3,0
2001-11-16,1420,16,11,2001,4,0
2001-11-17,1345,17,11,2001,5,1
2001-11-18,1276,18,11,2001,6,1
2001-11-19,1275,19,11,2001,0,0
2001-11-20,1302,20,11,2001,1,0
2001-11-21,1308,21,11,2001,2,0
2001-11-22,1012,22,11,2001,3,0
2001-11-23,1285,23,11,2001,4,0
2001-11-24,1397,24,11,2001,5,1
2001-11-25,1153,25,11,2001,6,1
2001-11-26,1313,26,11,2001,0,0
2001-11-27,1270,27,11,2001,1,0
2001-11-28,1335,28,11,2001,2,0
2001-11-29,1263,29,11,2001,3,0
2001-11-30,1369,30,11,2001,4,0
2001-12-01,1436,1,12,2001,5,1
2001-12-02,1174,2,12,2001,6,1
2001-12-03,1280,3,12,2001,0,0
2001-12-04,1378,4,12,2001,1,0
2001-12-05,1335,5,12,2001,2,0
2001-12-06,1313,6,12,2001,3,0
2001-12-07,1477,7,12,2001,4,0
2001-12-08,1258,8,12,2001,5,1
2001-12-09,1096,9,12,2001,6,1
2001-12-10,1277,10,12,2001,0,0
2001-12-11,1272,11,12,2001,1,0
2001-12-12,1306,12,12,2001,2,0
2001-12-13,1336,13,12,2001,3,0
2001-12-14,1371,14,12,2001,4,0
2001-12-15,1290,15,12,2001,5,1
2001-12-16,1114,16,12,2001,6,1
2001-12-17,1254,17,12,2001,0,0
2001-12-18,1251,18,12,2001,1,0
2001-12-19,1234,19,12,2001,2,0
2001-12-20,1174,20,12,2001,3,0
2001-12-21,1243,21,12,2001,4,0
2001-12-22,1187,22,12,2001,5,1
2001-12-23,1098,23,12,2001,6,1
2001-12-24,909,24,12,2001,0,0
2001-12-25,691,25,12,2001,1,0
2001-12-26,892,26,12,2001,2,0
2001-12-27,1062,27,12,2001,3,0
2001-12-28,1083,28,12,2001,4,0
2001-12-29,1068,29,12,2001,5,1
2001-12-30,949,30,12,2001,6,1
2001-12-31,1045,31,12,2001,0,0
2002-01-01,1874,1,1,2002,1,0
2002-01-02,1188,2,1,2002,2,0
2002-01-03,1118,3,1,2002,3,0
2002-01-04,1151,4,1,2002,4,0
2002-01-05,1104,5,1,2002,5,1
2002-01-06,1038,6,1,2002,6,1
2002-01-07,1172,7,1,2002,0,0
2002-01-08,1244,8,1,2002,1,0
2002-01-09,1317,9,1,2002,2,0
2002-01-10,1376,10,1,2002,3,0
2002-01-11,1337,11,1,2002,4,0
2002-01-12,1341,12,1,2002,5,1
2002-01-13,1197,13,1,2002,6,1
2002-01-14,1194,14,1,2002,0,0
2002-01-15,1355,15,1,2002,1,0
2002-01-16,1263,16,1,2002,2,0
2002-01-17,1115,17,1,2002,3,0
2002-01-18,1236,18,1,2002,4,0
2002-01-19,1182,19,1,2002,5,1
2002-01-20,1123,20,1,2002,6,1
2002-01-21,1083,21,1,2002,0,0
2002-01-22,1267,22,1,2002,1,0
2002-01-23,1253,23,1,2002,2,0
2002-01-24,1305,24,1,2002,3,0
2002-01-25,1402,25,1,2002,4,0
2002-01-26,1386,26,1,2002,5,1
2002-01-27,1274,27,1,2002,6,1
2002-01-28,1276,28,1,2002,0,0
2002-01-29,1200,29,1,2002,1,0
2002-01-30,1064,30,1,2002,2,0
